classnum blue green red nir swir1 swir2 BUI BSI NBI EVI NDWI MSAVI sdev edev bcdev
112.0000 630.5508 879.0642 1163.6006 2353.8247 3145.9052 2053.5345 -0.1944 0.1816 1.8334 0.2037 -0.4561 0.1852 0.0026 0.0850 0.0846
112.0000 804.8478 1101.5815 1404.7473 2488.7473 3097.6603 2568.0408 -0.1699 0.1549 1.8102 0.1821 -0.3868 0.1625 0.0012 0.0781 0.0745
112.0000 576.5902 820.0492 1079.9435 2399.8634 3177.6047 1997.7760 -0.2408 0.1765 1.7771 0.2269 -0.4906 0.2075 0.0019 0.0444 0.0439
112.0000 583.8679 870.2176 1140.3853 2713.0527 2756.7043 1705.3918 -0.3997 0.0830 1.4436 0.2593 -0.5137 0.2418 0.0017 0.0580 0.0624
112.0000 448.8118 683.0137 773.4143 2526.7178 1889.8619 1067.2413 -0.6756 -0.0559 1.0571 0.3178 -0.5740 0.2882 0.0092 0.0594 0.0796
112.0000 662.8410 933.4286 1205.4070 2528.1240 3077.9892 2101.4960 -0.2562 0.1458 1.7000 0.2239 -0.4605 0.2031 0.0031 0.0668 0.0642
112.0000 556.4416 819.0415 983.4642 2512.5345 2374.0251 1468.0182 -0.4655 0.0443 1.3422 0.2686 -0.5076 0.2428 0.0030 0.0512 0.0583
112.0000 537.0745 822.0430 1040.1851 2948.5226 2510.8625 1409.4292 -0.5593 0.0084 1.2075 0.3150 -0.5638 0.2949 0.0030 0.0628 0.0684
112.0000 528.4079 725.3432 838.9536 2255.9451 2438.3376 1624.1491 -0.4180 0.0803 1.4613 0.2652 -0.5107 0.2324 0.0082 0.0684 0.0792
112.0000 502.6316 746.5093 849.1885 2953.4584 2241.6672 1183.4194 -0.6898 -0.0563 1.0516 0.3685 -0.5958 0.3353 0.0040 0.0539 0.0626
112.0000 561.2192 809.0724 996.3170 2723.5264 2424.8806 1393.6360 -0.5221 0.0199 1.2618 0.2981 -0.5414 0.2714 0.0039 0.0643 0.0737
112.0000 903.6865 1207.6865 1515.1987 2439.3720 3371.5850 2968.7980 -0.0740 0.1876 2.0038 0.1568 -0.3385 0.1368 0.0024 0.0947 0.0794
112.0000 532.7627 788.3340 988.9272 2671.6211 2365.8006 1346.3858 -0.5214 0.0221 1.2565 0.2882 -0.5442 0.2653 0.0030 0.0617 0.0713
112.0000 734.5866 1018.1609 1285.6114 2548.5025 2917.1361 2236.2673 -0.2625 0.1225 1.6504 0.2140 -0.4293 0.1917 0.0012 0.0493 0.0488
112.0000 685.6507 921.3465 1164.8524 2174.5762 2867.9164 2236.3338 -0.1641 0.1699 1.8588 0.1796 -0.4039 0.1581 0.0024 0.0951 0.0994
112.0000 780.2765 1059.8521 1373.9936 2276.0257 2865.5305 2182.6174 -0.1326 0.1622 1.8642 0.1537 -0.3646 0.1369 0.0015 0.0857 0.0870
112.0000 640.1751 886.0153 1116.4401 2156.3069 2724.7983 2194.4601 -0.2013 0.1572 1.7834 0.1849 -0.4173 0.1641 0.0024 0.0748 0.0754
112.0000 661.5361 906.7313 1137.3543 2313.1965 2669.7647 2051.1203 -0.2698 0.1222 1.6489 0.2073 -0.4366 0.1839 0.0028 0.0786 0.0779
112.0000 742.8450 1057.8631 1422.8939 2713.9556 2991.3679 2034.7479 -0.2628 0.1215 1.6302 0.2055 -0.4382 0.1909 0.0018 0.0546 0.0508
112.0000 639.8523 963.1589 1365.2393 2850.1458 3192.2841 1955.3047 -0.2957 0.1326 1.6009 0.2286 -0.4947 0.2200 0.0012 0.0635 0.0643
112.0000 687.3825 1037.6300 1470.3250 2996.9200 3219.4175 2004.1550 -0.3065 0.1198 1.5656 0.2292 -0.4857 0.2217 0.0012 0.0640 0.0596
112.0000 664.2115 914.5328 1149.6697 2367.9887 2855.1719 2129.8869 -0.2521 0.1381 1.6963 0.2129 -0.4418 0.1896 0.0034 0.0719 0.0736
112.0000 610.6885 834.7104 1151.3525 2163.0492 3332.4344 2150.6557 -0.0928 0.2356 2.0741 0.1746 -0.4433 0.1589 0.0020 0.0521 0.0546
112.0000 522.7459 804.3135 1080.0331 2793.7410 2543.3550 1463.1222 -0.4903 0.0430 1.3006 0.2792 -0.5524 0.2649 0.0027 0.0575 0.0614
112.0000 460.4056 700.8722 800.0722 2772.7000 2342.8500 1275.9722 -0.6364 -0.0149 1.1367 0.3493 -0.5961 0.3195 0.0054 0.0588 0.0687
112.0000 767.9306 1074.4268 1398.5126 2417.4975 2754.7210 1996.0644 -0.2025 0.1319 1.7201 0.1693 -0.3853 0.1533 0.0007 0.0448 0.0470
112.0000 458.5234 716.3577 810.9444 2774.2639 2066.0883 1124.2585 -0.6947 -0.0590 1.0384 0.3458 -0.5895 0.3174 0.0075 0.0700 0.0888
112.0000 411.6566 605.2632 699.7203 2276.5320 1850.8379 1128.1578 -0.6324 -0.0264 1.1227 0.2944 -0.5796 0.2649 0.0062 0.0479 0.0653
112.0000 503.3008 738.3117 870.3550 2476.8008 2105.8780 1353.5650 -0.5604 -0.0011 1.2055 0.2883 -0.5399 0.2601 0.0060 0.0591 0.0698
112.0000 529.2097 809.6478 949.7688 2770.7097 2424.7016 1375.6317 -0.5562 0.0107 1.2206 0.3139 -0.5475 0.2875 0.0050 0.0726 0.0829
112.0000 485.5313 739.2506 878.2256 2855.3960 2415.4486 1306.7594 -0.6145 -0.0082 1.1549 0.3418 -0.5889 0.3151 0.0069 0.0753 0.0870
112.0000 521.7988 812.8797 1052.3402 2862.1929 2490.2448 1393.8423 -0.5323 0.0216 1.2435 0.2969 -0.5571 0.2804 0.0015 0.0555 0.0613
112.0000 656.8265 944.4910 1283.6816 2664.3587 3151.3200 1984.9406 -0.2668 0.1433 1.6656 0.2237 -0.4768 0.2086 0.0038 0.0777 0.0719
112.0000 545.4510 830.0959 1202.4020 2717.8649 2678.0969 1830.8322 -0.3970 0.0844 1.4299 0.2401 -0.5323 0.2315 0.0044 0.0645 0.0677
112.0000 490.3514 745.5498 952.0522 2690.6853 2298.0299 1403.2743 -0.5577 0.0094 1.2089 0.2956 -0.5661 0.2756 0.0118 0.0824 0.0934
112.0000 508.0699 736.7679 991.7933 2428.9585 2827.4189 1674.8137 -0.3444 0.1304 1.5751 0.2466 -0.5343 0.2287 0.0029 0.0483 0.0547
112.0000 636.9043 850.1748 1026.5157 2098.3666 2673.6303 2194.2380 -0.2218 0.1499 1.7692 0.1987 -0.4228 0.1718 0.0044 0.0866 0.0890
112.0000 464.4803 688.8604 814.3116 2423.8354 2073.9068 1304.0415 -0.5732 -0.0001 1.1986 0.2909 -0.5564 0.2636 0.0102 0.0678 0.0828
112.0000 460.6608 692.6550 785.2456 2615.6881 2056.4717 1125.6257 -0.6570 -0.0425 1.0990 0.3305 -0.5790 0.3002 0.0042 0.0525 0.0686
112.0000 610.4567 845.7327 1044.8494 2236.7465 2555.7114 1905.8984 -0.2978 0.1159 1.6123 0.2140 -0.4513 0.1896 0.0066 0.0858 0.0895
112.0000 477.9858 725.6726 850.4543 2717.3664 2366.3133 1255.6421 -0.5913 0.0032 1.1913 0.3277 -0.5778 0.3002 0.0048 0.0656 0.0777
112.0000 542.3038 766.5802 954.7084 2429.9481 2702.9420 1641.9832 -0.3829 0.1031 1.5066 0.2617 -0.5202 0.2360 0.0031 0.0722 0.0815
112.0000 659.5947 949.9911 1254.2189 2444.1746 3021.7101 2267.7308 -0.2168 0.1583 1.7513 0.1982 -0.4403 0.1822 0.0017 0.0770 0.0770
112.0000 888.9154 1184.5487 1497.0026 2393.4000 3348.7795 2916.4846 -0.0641 0.1926 2.0272 0.1523 -0.3382 0.1332 0.0010 0.0630 0.0581
