classnum blue green red nir swir1 swir2 NDVI MNDWI BAI BUI BSI TCG TCW TCB NDMI LAI EVI AWEI_sh BAEI NDSI SAVI NBR sdev edev bcdev BS_PC_10 PV_PC_10 NPV_PC_10 BS_PC_50 PV_PC_50 NPV_PC_50 BS_PC_90 PV_PC_90 NPV_PC_90 chirps1 chirps2 chirps x_coord y_coord binary_class
111.0 551.0 904.0 1101.0 2199.0 3504.0 2281.0 0.33176100000000003 -0.591198 38.727371999999995 -0.100273 0.250881 0.052022000000000006 -0.28878200000000004 0.29338400000000003 -0.22753099999999998 0.5452899999999999 0.183331 -0.633075 0.9328270000000001 -0.591198 0.19506099999999998 -0.022096 0.009348 0.105608 0.101874 0.0 9.0 17.0 9.0 34.0 52.0 43.0 74.0 68.0 961.3208619999999 307.182861 1268.5036619999998 1500420.0 -2110755.0 1
111.0 360.0 639.0 493.0 3589.0 1658.0 685.0 0.760057 -0.44762799999999997 10.882032 -1.1345809999999998 -0.29933899999999997 0.22827600000000003 -0.06701499999999999 0.304135 0.373633 1.897829 0.557167 -0.611675 1.5212629999999998 -0.44762799999999997 0.5130979999999999 0.682604 0.001812 0.034679 0.046816 0.0 44.0 5.0 0.0 79.0 16.0 18.0 94.0 47.0 962.990295 307.716644 1270.7147220000002 1500255.0 -2110575.0 1
111.0 618.0 959.0 1150.0 2449.0 3346.0 2160.0 0.367615 -0.555968 29.068779 -0.21560900000000002 0.18918900000000002 0.070635 -0.264189 0.310454 -0.153618 0.6983590000000001 0.225638 -0.62665 0.960124 -0.555968 0.23173200000000002 0.065364 0.012891999999999999 0.100424 0.09451699999999999 0.0 10.0 15.0 10.0 35.0 49.0 54.0 74.0 66.0 960.679993 306.96936 1267.629883 1500435.0 -2110830.0 1
111.0 405.0 692.5 587.0 3455.0 1821.5 826.5 0.7076939999999999 -0.45164499999999996 11.975128999999999 -1.009733 -0.22674 0.207254 -0.08762400000000001 0.305242 0.304703 1.743696 0.5145649999999999 -0.598762 1.423935 -0.45164499999999996 0.47514799999999996 0.606527 0.002691 0.037517 0.051087 0.0 28.0 8.0 4.0 72.5 20.0 19.0 90.0 52.0 959.422241 306.57232700000003 1265.994385 1500615.0 -2111010.0 1
111.0 447.0 801.0 738.0 3291.0 2021.0 945.0 0.6304850000000001 -0.43063999999999997 13.604737 -0.872072 -0.151022 0.181274 -0.102527 0.31327 0.23904299999999998 1.492841 0.44523 -0.578075 1.324875 -0.43063999999999997 0.42292399999999997 0.553131 0.004575 0.051116 0.067986 0.0 37.0 11.0 3.0 68.0 24.0 17.0 87.0 54.0 958.5656130000001 306.303467 1264.856934 1500750.0 -2111085.0 1
111.0 445.0 858.0 668.0 3407.0 2103.0 927.0 0.6728609999999999 -0.41427600000000003 12.479677 -0.912636 -0.16576400000000002 0.192873 -0.104325 0.32258400000000004 0.24470799999999998 1.640577 0.486063 -0.591725 1.242517 -0.41427600000000003 0.45328999999999997 0.576773 0.0032630000000000003 0.041711 0.05123 0.0 39.0 5.0 0.0 79.0 17.0 13.0 92.0 51.0 956.285767 305.466248 1261.7540279999998 1500330.0 -2111505.0 1
111.0 492.5 958.5 682.0 3971.5 2196.5 923.5 0.70491 -0.386833 8.73887 -1.0040360000000002 -0.223 0.234173 -0.097924 0.36536799999999997 0.297302 1.9369180000000001 0.567971 -0.66325 1.1661979999999998 -0.386833 0.512085 0.628024 0.001615 0.034635 0.040963 0.0 37.0 0.0 0.0 89.0 7.0 18.0 99.0 49.5 958.316162 306.138794 1264.454834 1500255.0 -2111235.0 1
111.0 448.0 792.0 630.0 3692.0 1982.0 901.0 0.706591 -0.427392 10.328905 -1.0033459999999998 -0.221644 0.22014 -0.098226 0.330725 0.289152 1.844141 0.5423279999999999 -0.6294 1.308394 -0.427392 0.493493 0.609337 0.004463 0.054832000000000006 0.067674 0.0 58.0 8.0 4.0 77.0 16.0 19.0 88.0 36.0 952.8852539999999 304.284363 1257.169678 1500180.0 -2112060.0 1
111.0 731.0 1119.0 1208.0 2804.0 3085.0 2024.0 0.40729099999999996 -0.46987399999999996 20.434983 -0.366923 0.087619 0.093334 -0.223579 0.343368 -0.036964 0.894028 0.27971999999999997 -0.5855 0.996743 -0.46987399999999996 0.270231 0.176975 0.021639 0.180695 0.158547 0.0 1.0 13.0 10.0 43.0 40.0 43.0 79.0 61.0 953.9598390000001 304.662384 1258.622192 1500210.0 -2111865.0 1
111.0 400.5 706.5 589.0 3691.5 1904.5 854.0 0.7277779999999999 -0.45450799999999997 10.316853 -1.057515 -0.252306 0.225611 -0.086377 0.32133 0.332358 1.856483 0.5457390000000001 -0.640737 1.3677290000000002 -0.45450799999999997 0.503083 0.6309640000000001 0.007847 0.063871 0.080223 0.0 57.0 5.0 2.0 74.0 17.0 18.0 92.0 32.0 934.7650150000001 298.417664 1233.188965 1500315.0 -2114790.0 1
