,blue,green,red,nir,swir1,swir2,sdev,edev,bcdev,NDVI,MNDWI,BAI,BUI,BSI,TCG,TCW,TCB,NDMI,LAI,EVI,AWEI_sh,BAEI,NDSI,SAVI,NBR,pv_pc_10,pv_pc_50,pv_pc_90,bs_pc_10,bs_pc_50,bs_pc_90,npv_pc_10,npv_pc_50,npv_pc_90,qa,time,binary_class
0,449.0,821.0,655.0,3338.0,2026.0,921.0,0.0027092769742012,357.5201721191406,0.0448116175830364,0.6721709567751335,-0.4196462175385773,13.141398823056322,-0.9180322071772132,-0.1737367436057392,0.18874803,-0.10189638,0.31454313,0.2490163012928611,1.625228869552659,0.4818211358630899,-0.5766999999999999,1.2834618079887876,-0.4196462175385773,0.4462533452274754,0.5706610604998833,36.0,77.0,91.0,0.0,1.0,11.0,7.0,17.0,55.0,2.0,2010.0,111
1,347.0,539.0,449.0,976.0,500.0,230.0,0.0043484643101692,246.2794952392578,0.0880621001124382,0.3478818998716303,0.0353178607467204,224.9394912768465,-0.6435420026389094,-0.1464720194647202,0.03154591,-0.0070065699999999,0.12331978,0.3220338983050848,0.3083608756742057,0.1178443548021574,-0.060875,3.298689138576779,0.0353178607467204,0.1221804511278195,0.6121323529411764,57.0,95.0,100.0,13.0,31.0,46.0,18.0,36.0,65.0,2.0,2010.0,0
2,562.0,843.0,1058.5,2134.5,3400.5,2261.0,0.0108969686552882,1069.7625732421875,0.0979993939399719,0.3318880157643044,-0.6046775708546148,42.27183882758023,-0.1011312201401228,0.2480838353728942,0.050423095,-0.28469516,0.280647855,-0.2306200816964658,0.553001593777799,0.1854620214974568,-0.6186749999999999,0.9577486570918952,-0.6046775708546148,0.1942052642024001,-0.0326673495642767,8.5,34.0,74.0,2.0,9.0,44.0,16.5,52.0,66.0,2.0,2010.0,111
3,485.0,905.0,673.0,3783.0,2093.0,897.0,0.0016909033292904,316.7790832519531,0.0380812436342239,0.7006088599622086,-0.3930187459599224,9.78502495866316,-0.9962683720648924,-0.2227993074976694,0.22039222,-0.0954546,0.34724693,0.296457860757285,1.863601480479732,0.5477063240684721,-0.62955,1.2240979808010592,-0.3930187459599224,0.4936911890504704,0.6254711366792304,36.0,86.0,97.0,0.0,1.0,15.0,2.0,11.0,52.0,2.0,2010.0,111
4,419.0,674.0,593.0,3314.0,1773.0,819.0,0.0034758443944156,377.1809387207031,0.0555130839347839,0.694941634241245,-0.4537152345371524,13.269762325286994,-0.991884865682293,-0.2187894073139974,0.1943247,-0.08545578,0.29652126,0.2972336668628604,1.6721390159136638,0.4947869032376074,-0.5764,1.4655737704918033,-0.4537152345371524,0.4540292640314479,0.5991923271075216,46.0,71.0,90.0,0.0,4.0,16.0,9.0,22.0,61.0,2.0,2010.0,111
5,461.0,772.0,734.0,3193.0,1977.0,950.0,0.0046335621736943,497.9228210449219,0.0702127069234848,0.6191683569979716,-0.4351032448377581,14.727644613687987,-0.8560905740488011,-0.147581903276131,0.1741957,-0.10211958,0.3045895899999999,0.2364660897564901,1.4493065290873512,0.4331969400462551,-0.558375,1.3618874773139746,-0.4351032448377581,0.4107712619650126,0.5418502202643172,44.0,68.0,85.0,0.0,3.0,13.0,13.0,26.0,57.0,2.0,2010.0,111
6,618.5,899.0,1108.5,2342.0,3235.0,2142.0,0.0131056513637304,999.9224853515624,0.096089020371437,0.3654437993826797,-0.5636971102036186,32.90212517230208,-0.2094005709762235,0.1867755467784219,0.066777405,-0.25883383,0.299009595,-0.1564825500821505,0.682281379125703,0.2211944110352965,-0.6115625,0.9885209190256584,-0.5636971102036186,0.224960779189704,0.0495149831528048,7.5,34.0,74.0,1.0,9.0,46.0,17.0,49.0,66.0,2.0,2010.0,111
7,367.0,608.5,485.0,3489.5,1605.0,688.5,0.0017013337928801,328.9354248046875,0.045582327991724,0.7554710833290672,-0.4525177932242135,11.641866692500969,-1.1300910066073533,-0.2995564472390469,0.22001575,-0.06640565,0.29468744,0.3722228674813561,1.8599043704029696,0.5466844583756135,-0.5954375,1.578337837570286,-0.4525177932242135,0.5016655253114062,0.6718094442744522,44.0,77.0,93.0,0.0,2.0,16.0,5.0,17.0,56.5,2.0,2010.0,111
8,447.5,696.5,617.0,3464.0,1896.5,914.5,0.0104761403053998,692.0988159179688,0.0937487185001373,0.6988719960765081,-0.4646357800851998,11.973908374695204,-0.98882779875014,-0.2182536441996684,0.20557242,-0.09535482,0.310776865,0.2969152570204774,1.7449866407330348,0.5149216806890644,-0.615,1.3880033266696628,-0.4646357800851998,0.4712064676036134,0.582777369943119,22.0,69.0,88.0,0.0,5.0,19.0,8.5,21.0,66.0,2.0,2010.0,111
9,377.5,563.5,573.5,3840.5,1193.5,760.0,0.0006629273993894,235.46142578125,0.0333896018564701,0.7406837405511355,-0.3623703797699252,9.359375297683414,-1.2660506545614263,-0.4099607278555833,0.244005645,-0.03575171,0.30418105,0.5258506081445004,1.9237103356607537,0.5643201591102138,-0.5953249999999999,2.016114442807373,-0.3623703797699252,0.5216074691724211,0.6686986329892145,52.0,55.5,66.0,0.0,0.0,23.5,12.0,43.0,47.0,2.0,2010.0,111
