# crop nbart_red nbart_nir NDVI SOS POS EOS Trough vSOS vPOS vEOS LOS AOS ROG ROS
1.000000 889.131958 2409.197998 0.460859 54.000000 118.000000 262.000000 0.347378 0.506964 0.571692 0.367031 208.000000 0.224314 0.001011 -0.001421
1.000000 777.010132 2384.029785 0.508383 54.000000 118.000000 262.000000 0.391374 0.576763 0.598098 0.420745 208.000000 0.206724 0.000333 -0.001232
1.000000 698.190674 2591.163574 0.575485 54.000000 118.000000 262.000000 0.446830 0.626076 0.675792 0.479134 208.000000 0.228962 0.000777 -0.001366
1.000000 770.780884 2660.078125 0.550678 54.000000 118.000000 262.000000 0.418526 0.603960 0.678355 0.448657 208.000000 0.259829 0.001162 -0.001595
1.000000 876.362244 2608.889160 0.497102 54.000000 118.000000 262.000000 0.376552 0.511418 0.684645 0.403184 208.000000 0.308093 0.002707 -0.001955
1.000000 889.797119 2582.227051 0.487448 54.000000 118.000000 262.000000 0.366396 0.471668 0.658419 0.382863 208.000000 0.292023 0.002918 -0.001914
1.000000 924.501099 2487.073730 0.458021 54.000000 118.000000 262.000000 0.350303 0.523856 0.624161 0.370906 208.000000 0.273858 0.001567 -0.001759
1.000000 934.184021 2461.208496 0.449734 54.000000 118.000000 262.000000 0.290956 0.611834 0.640348 0.387061 208.000000 0.349392 0.000446 -0.001759
1.000000 818.557495 2512.553467 0.508538 54.000000 118.000000 246.000000 0.402201 0.485650 0.596779 0.413276 192.000000 0.194578 0.001736 -0.001434
1.000000 945.839844 2623.726562 0.470053 54.000000 118.000000 246.000000 0.405975 0.406323 0.569613 0.418232 192.000000 0.163638 0.002551 -0.001183
1.000000 858.847229 2608.350342 0.504587 54.000000 118.000000 262.000000 0.418685 0.418685 0.606926 0.448401 208.000000 0.188241 0.002941 -0.001101
1.000000 904.189270 2583.879150 0.481553 54.000000 118.000000 246.000000 0.298056 0.529412 0.630779 0.404838 192.000000 0.332723 0.001584 -0.001765
1.000000 1023.221558 2603.354980 0.435709 54.000000 118.000000 262.000000 0.351365 0.622004 0.683565 0.394457 208.000000 0.332199 0.000962 -0.002008
1.000000 885.749695 2476.481445 0.473118 54.000000 118.000000 262.000000 0.378482 0.549833 0.586609 0.385095 208.000000 0.208128 0.000575 -0.001399
1.000000 906.997192 2486.000488 0.465371 54.000000 118.000000 262.000000 0.406432 0.419959 0.694720 0.421010 208.000000 0.288288 0.004293 -0.001901
1.000000 916.807007 2602.496582 0.478984 54.000000 118.000000 230.000000 0.398337 0.425538 0.659628 0.422158 176.000000 0.261291 0.003658 -0.002120
1.000000 984.000122 2719.000488 0.468539 54.000000 118.000000 246.000000 0.217949 0.479960 0.681488 0.413380 192.000000 0.463540 0.003149 -0.002095
1.000000 1030.254028 2740.615723 0.453572 54.000000 118.000000 246.000000 0.370342 0.547691 0.651581 0.421591 192.000000 0.281239 0.001623 -0.001797
